"Loc";"Region desde endémica";"Hos";"AÑO";"campaña";"hap_id";"B1";"B1a";"B2";"B3a";"B3b";"B3c";"B4";"B5";"B6";"B7";"B8";"B9a";"B9b";"B9c";"B10a";"B10b";"BE";"B5a"
"P";"núcleo";"M";4;304;9960;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"P";"núcleo";"M";4;304;9962;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"P";"núcleo";"M";4;304;9963;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"TV";"valle altura";"M";4;304;10642;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"TV";"valle altura";"M";4;304;10643;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"TV";"valle altura";"M";4;304;10644;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"TV";"valle altura";"M";4;304;10645;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"TV";"valle altura";"M";4;304;10646;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"M";4;304;10647;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"M";4;304;10648;1;0;1;1;0;0;1;1;1;1;1;0;0;1;0;1;0;0
"TV";"valle altura";"M";4;304;10636;;;;;;0;1;1;1;1;1;0;1;0;1;0;0;0
"TV";"valle altura";"M";4;304;10637;;;;;;;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"M";4;304;10639;;;;;;;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"M";4;304;10640;;;;;;;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"M";4;304;10643;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"TV";"valle altura";"M";4;304;10649;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"TV";"valle altura";"M";4;304;10650;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
